debate,character,text
1A,Bill De Blasio,"(APPLAUSE)         The big corporations did that to you. The 1 percent did that to you. We need to be the party of working people, and that includes a party of immigrants. But first we have to tell working people in America who are hurting that we're going to be on their side every single time against those big corporation who created this mess to begin with. And remind people we're all in this together."
1A,Bill De Blasio,"If we don't change that debate, that politics that's holding us back, we won't get all these reforms people are talking about. That's what we need to do as Democrats."
1A,Diaz-Balart,"If I could, I'm sorry. What would you do, Congressman, day one at the White House??"
1A,Beto O'Rourke,"We would not turn back Valeria and her father, Oscar. We would accept them into this country and follow our own asylum laws. We would not build walls. We would not put kids in cages. In fact, we would spare no expense to reunite the families that have been separated already... and we would not criminally prosecute any family who is fleeing violence and persecution..."
1A,Julián Castro,... repeal of Section 1325.
1A,Beto O'Rourke,We would make sure...
1A,Diaz-Balart,"Secretary, let him finish. And I will give you... But let him finish. Let him finish."
1A,Beto O'Rourke,"We would not detain any family fleeing violence, in fact, fleeing the deadliest countries on the face of the planet today. We would implement a family case management program so they could be cared for in the community at a fraction of the cost. And then we would rewrite our immigration laws in our own image, free Dreamers forever from any fear of deportation by making them U.S. citizens here in this country, invest in solutions in Central America, work with regional stakeholders so there's no reason to make that 2,000 mile journey to this country."
1A,Diaz-Balart,"Thank you. Secretary, I'll give you 30 seconds."
1A,Julián Castro,Let's be very clear. The reason that they're separating these little children from their families is that they're using Section 1325 of that act which criminalizes coming across the border to incarcerate the parents and then separate them.
1A,Julián Castro,"Some of us on this stage have called to end that section, to terminate it. Some, like Congressman O'Rourke, have not. And I want to challenge all of the candidate to do that."
1A,Julián Castro,"I just think it's a mistake, Beto. I think it's a mistake. And I think that -- that if you truly want to change the system, that we've got to repeal that section. If not..."
1A,Julián Castro,... then it might as well be the same policy.
1A,Beto O'Rourke,"Let me respond to this very briefly. As a member of a Congress, I helped to introduce legislation that would ensure that we don't criminalize those who are seeking asylum and refuge in this country."
1A,Julián Castro,I'm not talking about -- I'm not talking about the ones that are seeking asylum.
1A,Beto O'Rourke,"If you're fleeing -- if you're fleeing desperation, then I want to make sure..."
1A,Julián Castro,I'm talking about -- I'm talking about everybody else.
1A,Beto O'Rourke,... I want to make sure you are treated with respect.
